message,keep
remember that i like concise answers,1
my name is ritesh,1
i prefer dark coffee,1
always remind me about deadlines,1
never use very long answers unless i ask,1
important: my exam is on monday,1
appointment with dentist tomorrow at 5 pm,1
my github username is octocat,1
please keep in mind that i use windows,1
the project deadline is april 15,1
hello,0
thanks,0
what can you do,0
tell me a joke,0
explain binary search,0
what is python,0
give me a summary of this file,0
search web for latest news,0
open github in browser,0
list files in workspace,0
